company;ano;mes;valorNota;valorTotalFaturamento
45ac39e1a39ddd2bed9be802bc751e79d126ca2d5603e4e127853b9935630450;2021;8;33368.22;100104.645
b4eae7581de491c99ac91098b2a7d1374582feaf84df00667d3e4189de13fa0a;2021;8;48655.8375;145967.5125
b4eae7581de491c99ac91098b2a7d1374582feaf84df00667d3e4189de13fa0a;2021;8;48655.8375;145967.5125
b4eae7581de491c99ac91098b2a7d1374582feaf84df00667d3e4189de13fa0a;2021;8;48655.8375;145967.5125
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2021;8;1486984.305;2617432.4025
b4eae7581de491c99ac91098b2a7d1374582feaf84df00667d3e4189de13fa0a;2021;12;49131.96;147395.8725
b4eae7581de491c99ac91098b2a7d1374582feaf84df00667d3e4189de13fa0a;2021;12;49131.96;147395.8725
b4eae7581de491c99ac91098b2a7d1374582feaf84df00667d3e4189de13fa0a;2021;12;49131.9525;147395.8725
21dd71c0d751e9e224d45699b6b1088a12fd25905bbfe66dee87274a08bc2a40;2021;12;25081.8675;75245.61
21dd71c0d751e9e224d45699b6b1088a12fd25905bbfe66dee87274a08bc2a40;2021;12;25081.8675;75245.61
21dd71c0d751e9e224d45699b6b1088a12fd25905bbfe66dee87274a08bc2a40;2021;12;25081.875;75245.61
0dd25a9acdbefa7af129a692af0ab2b06fdcaa48a9d43228d347c2f25f94657f;2021;12;68154.6225;204463.875
0dd25a9acdbefa7af129a692af0ab2b06fdcaa48a9d43228d347c2f25f94657f;2021;12;68154.6225;204463.875
0dd25a9acdbefa7af129a692af0ab2b06fdcaa48a9d43228d347c2f25f94657f;2021;12;68154.63;204463.875
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;2021;4;1166802.4125;5180112.720000001
8ee9dce4510479f9e153df273e778e86ee30b54a2fcd4e5f9473ecfc4bed2dd2;2021;5;241384.0275;596785.74
8ee9dce4510479f9e153df273e778e86ee30b54a2fcd4e5f9473ecfc4bed2dd2;2021;5;355401.7125;596785.74
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;2020;12;1185954.69;5494537.829999999
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;2020;12;4308583.14;5494537.829999999
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;2020;12;8422346.805;8598881.685
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;2020;12;115571.4225;8598881.685
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;2020;12;60963.4575;8598881.685
0c8dc5cabccd367552341f7699add336791dafca08e8334dd7245d054cd4355b;2021;8;106058.79;106058.79000000001
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;2021;12;7830103.965;8049559.4475
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;2021;12;84732.8025;8049559.4475
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;2021;12;134722.68;8049559.4475
35b76ed72c17895dde8d51b1b7fd502c907d6b5c20f1d81057533a90f165ac43;2021;8;266.1075;9280.814999999999
7e0e496542d3d1478dbaad4d68d0d2b893fdaa543a46ceaa2f2ad7d90ab2bf4c;2021;12;26120.745;26120.745000000003
